sample	BLCA	CESC	ESCA	HNSC	LUSC	window_size	coverage
F148370	0.014289871	0.009059266	0.0072503434	0.9288497	0.04055078	200	0.1
F148374	0.013294946	0.0033495955	0.010621896	0.7435748	0.22915876	200	0.1
F148375	0.03076816	0.0017964032	0.0036772024	0.37575474	0.58800346	200	0.1
F148376	0.027907947	0.011451047	0.008428083	0.85297644	0.099236526	200	0.1
F148377	0.010636	0.02449164	0.058079008	0.8732701	0.03352326	200	0.1
32395_T_F112331-F94490	0.046168465	0.015169327	0.0032465106	0.8835179	0.05189777	250	0.1
32655_T_F111504	0.03329971	0.008299245	0.024386207	0.4887245	0.44529024	250	0.1
33373_T_F94422	0.065827906	0.04658034	0.008287996	0.8325757	0.04672801	250	0.1
36067_T_F94494	0.036681037	0.026615202	0.013518793	0.86545813	0.057726815	250	0.1
40168_T_F94519	0.036244396	0.036312066	0.020403184	0.8469385	0.060101952	250	0.1
41813_T_F94516	0.019058969	0.0052957246	0.002456377	0.92271656	0.0504723	250	0.1
F138888	0.0051003676	0.0032157293	0.016877552	0.88864446	0.08616184	250	0.1
F148364	0.025608823	0.025394805	0.0895555	0.68284446	0.17659643	250	0.1
F148365	0.006360493	0.002772332	0.03546762	0.72141606	0.23398343	250	0.1
F148367	0.019857524	0.008402958	0.016763194	0.81418866	0.1407876	250	0.1
F148369	0.01601699	0.009633901	0.0051775887	0.93300295	0.0361686	250	0.1
F148370	0.015486231	0.00850178	0.006842793	0.92183965	0.047329593	250	0.1
F148374	0.01325378	0.0037092604	0.0075207134	0.8199714	0.15554494	250	0.1
F148375	0.030055799	0.0016826692	0.003429399	0.3803708	0.5844614	250	0.1
F148376	0.028020326	0.011511287	0.008520721	0.8514516	0.10049603	250	0.1
F148377	0.011425856	0.02755482	0.0599808	0.868408	0.0326305	250	0.1
32395_T_F112331-F94490	0.039089996	0.018409034	0.0060429005	0.8828878	0.053570308	300	0.1
32655_T_F111504	0.03629393	0.010139342	0.027969548	0.49551505	0.43008205	300	0.1
33373_T_F94422	0.06424574	0.04781201	0.008836781	0.83326656	0.045838885	300	0.1
36067_T_F94494	0.037539568	0.027296927	0.015455347	0.8563243	0.063383885	300	0.1
40168_T_F94519	0.036688328	0.03802927	0.021872861	0.8428529	0.060556646	300	0.1
41813_T_F94516	0.018609582	0.005351796	0.0025646065	0.9235767	0.04989726	300	0.1
F138888	0.005019778	0.0033488555	0.019209225	0.8842965	0.08812564	300	0.1
F148364	0.017138572	0.008785797	0.049412265	0.6660574	0.25860593	300	0.1
F148365	0.0054738247	0.0028151572	0.04907013	0.7071401	0.23550075	300	0.1
F148367	0.020611413	0.007989993	0.015733536	0.79988635	0.15577875	300	0.1
F148369	0.01641448	0.009549886	0.005342328	0.93024564	0.038447727	300	0.1
F148370	0.015479643	0.007759339	0.006306145	0.9208225	0.04963243	300	0.1
F148374	0.012690439	0.0036497472	0.01327063	0.75485235	0.21553682	300	0.1
F148375	0.029297024	0.0015326223	0.003300742	0.3554407	0.6104289	300	0.1
F148376	0.028014867	0.011738702	0.008610228	0.8522001	0.099436104	300	0.1
F148377	0.011788053	0.027671231	0.060133677	0.8661077	0.03429941	300	0.1
32395_T_F112331-F94490	0.110532716	0.04182162	0.000624937	0.83459973	0.012421063	0	0.2
32655_T_F111504	0.03446945	0.0069197	0.017551456	0.5585087	0.38255063	0	0.2
33373_T_F94422	0.08496495	0.033112254	0.0016669838	0.85121846	0.029037375	0	0.2
36067_T_F94494	0.03326769	0.02736049	0.0021967872	0.92685235	0.010322685	0	0.2
40168_T_F94519	0.026343795	0.06328465	0.023948818	0.86482805	0.021594644	0	0.2
41813_T_F94516	0.005570028	0.004313578	0.00408893	0.96928966	0.016737828	0	0.2
